,nodes,edges,degrees_w,degrees_nw,alcc_nw,spl_nw,algebrcon_nw,deg_centr
1988,201,4791,17338675.63758209,47.67164179104478,0.8590475316016095,0.23940298507462687,0.9943253020467682,0.23835820895522386
1989,201,6546,23611754.226029847,65.13432835820896,0.8233365156120472,0.34507462686567164,0.9937421436566485,0.3256716417910448
1990,202,7860,27165484.60629703,77.82178217821782,0.8123588727124459,0.4506428254765775,0.998834694311164,0.3871730456627752
1991,199,8336,28844523.725266665,83.77889447236181,0.8027954562501763,0.5024618039693417,1.9950727138747493,0.42312572965839307
1992,221,10528,29423811.368950225,95.27601809954751,0.7968024396759297,0.5632661456190868,0.9936215142860417,0.4330728095433978
1993,223,11716,28820853.550233185,105.0762331838565,0.8008792111319979,0.6610107865713247,1.997638537195921,0.47331636569304725
1994,223,12653,33031075.549309418,113.4798206278027,0.7842561650543629,0.740597099341494,1.9981852625479788,0.5111703631883004
1995,223,13804,39613490.01667265,123.80269058295964,0.7773553915293473,0.8066092998828425,4.950860916035348,0.5576697774007192
1996,220,14848,42700290.49799091,134.98181818181817,0.7851839523831392,0.8829182233291822,1.9963407332972887,0.6163553341635533
1997,220,15812,44172340.574090905,143.74545454545455,0.7829878064441537,0.9360730593607306,1.9853686937539783,0.6563719385637193
1998,220,16170,43793757.909118176,147.0,0.780643023764658,0.9375259443752595,1.9931465220872564,0.6712328767123287
1999,221,17086,43674754.42407442,154.62443438914028,0.7855740247125285,1.0069313039901275,1.9988515531469664,0.7028383381324557
2000,233,19420,48083095.85919313,166.6952789699571,0.7826956500077831,1.1017833357999112,0.9984217734850965,0.7185141334911943
2001,234,19711,46726386.17152992,168.47008547008548,0.7834076867221508,1.0858002274311287,0.9928136129083123,0.7230475771248304
2002,235,20058,48941240.9228766,170.7063829787234,0.7775529467900323,1.1026732133115111,0.9913188938724288,0.7295144571740317
2003,233,20567,57489293.04706439,176.54077253218884,0.784405044919982,1.1062046766316413,0.9987438683640999,0.7609516057421933
2004,233,21112,69204277.82087554,181.21888412017168,0.7837648281696891,1.0969550096196536,0.9946716089369937,0.7811158798283262
2005,232,21021,78403203.62710345,181.2155172413793,0.7890364465277075,1.0825309747723542,6.989025117350339,0.7844827586206896
2006,234,21428,90571904.89738463,183.14529914529913,0.7921135943001174,1.0534279740288324,0.9956520857152488,0.786031326803859
2007,234,21902,104313150.3838718,187.1965811965812,0.7964946008574443,1.0865888998936208,1.9964203233018165,0.8034188034188035
2008,233,22068,120682615.74995708,189.42489270386267,0.7952967619729427,1.0686695278969958,9.988189588330801,0.8164866064821666
2009,234,22238,93330709.72848716,190.06837606837607,0.7936320084130198,1.0719526062873703,0.9986337534795074,0.8157441032977514
2010,234,22767,111916259.3362735,194.5897435897436,0.7994183065025934,1.0705953560030814,0.9995590617040669,0.8351491141190712
2011,236,22540,132225393.72672881,191.01694915254237,0.7993481257938716,1.0449152542372881,0.9943280452438515,0.8128380815001803
2012,235,22265,132866964.0712851,189.48936170212767,0.7981693982947683,1.0510638297872341,3.9902667134269016,0.8097835970176397
2013,236,22748,135992522.5502881,192.77966101694915,0.806217633350188,1.0224125495852867,9.98480406275368,0.8203389830508474
2014,235,22559,137086952.6664085,191.99148936170212,0.8054513843790633,1.0198399709038006,9.990885388497503,0.8204764502636843
2015,235,23042,120741837.8451915,196.10212765957448,0.8108080927724469,1.0194580832878706,5.992546811051893,0.8380432805964722
2016,236,23069,117053870.91134745,195.5,0.8086256549532347,1.0087991345113596,0.9984653076485595,0.8319148936170212
2017,235,22992,133875725.77623832,195.67659574468084,0.8113801952656914,1.0033278777959629,8.988451386886393,0.8362247681396618
2018,235,22774,146444913.0378468,193.82127659574468,0.8115574440435478,0.9818694308056011,7.992724073015348,0.8282960538279689
2019,235,22078,141600662.94073188,187.89787234042552,0.8149868194023923,0.9007819603564284,7.989542285348579,0.8029823604291689
2020,236,20245,131853382.05477121,171.5677966101695,0.8108466169039145,0.79639379733141,0.9987480537096662,0.7300757302560403
2021,235,11881,96585465.0957702,101.11489361702128,0.8121235436292152,0.40532824149845426,2.992350044203671,0.43211492998727047
